iteration,classic_path_len,classic_expansions,learned_path_len,learned_expansions,expansion_ratio,delta_path
0,69,1099,69,430,0.39126478616924476,0
1,69,1099,69,374,0.3403093721565059,0
2,69,1099,69,366,0.3330300272975432,0
3,69,1099,69,355,0.32302092811646954,0
4,69,1099,69,374,0.3403093721565059,0
5,69,1099,69,324,0.2948134667879891,0
6,69,1099,69,359,0.32666060054595086,0
7,69,1099,69,593,0.5395814376706096,0
8,69,1099,69,362,0.3293903548680619,0
9,69,1099,69,452,0.41128298453139217,0
